City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
413,Estelle,US,77.0,scattered clouds,29.8458,-90.1067,Ohio
415,Adre,TD,83.8,clear sky,13.4667,22.2,
421,Kismayo,SO,83.57,overcast clouds,-0.3582,42.5454,Agan-Hotel
423,Tignere,CM,78.85,overcast clouds,7.3667,12.65,SADECK
425,Henties Bay,,77.76,clear sky,-22.116,14.2845,Fishermans Guest House
428,Ambulu,ID,75.92,clear sky,-8.345,113.6058,Hotel Ambulu Jember
433,Kerouane,GN,86.32,overcast clouds,9.2667,-9.0167,
438,Awbari,LY,87.71,scattered clouds,26.5921,12.7805,فندق أوباري
443,Tumaco,CO,81.97,light rain,1.7986,-78.8156,Dafneruben
449,Gewane,ET,88.57,broken clouds,10.1664,40.6453,
453,Catuday,PH,79.02,few clouds,16.2923,119.8062,GResort
454,Manta,EC,82.4,overcast clouds,-0.95,-80.7333,Balandra Hotel
459,Acapulco,MX,84.2,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
464,Placido De Castro,BR,85.48,broken clouds,-10.3353,-67.1856,Hotel Carioca
467,Poum,NC,78.21,overcast clouds,-20.2333,164.0167,Gîte kajeon
468,Kingston,JM,84.0,scattered clouds,17.997,-76.7936,The Jamaica Pegasus Hotel
469,Sambava,MG,77.16,light rain,-14.2667,50.1667,Melrose
473,Abu Dhabi,AE,89.6,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
474,Frontera,MX,85.24,overcast clouds,26.9333,-101.45,Casagrande Hotel
478,San Cristobal,VE,89.6,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
479,Port Blair,IN,82.47,overcast clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
486,Mitu,CO,80.67,overcast clouds,1.1983,-70.1733,
489,Winneba,GH,86.0,few clouds,5.3511,-0.6231,Windy Lodge & Beach Resort
490,Champerico,GT,87.8,few clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
499,Wanning,CN,75.02,scattered clouds,18.8003,110.3967,Paradise Hotel
500,San Francisco Del Mar,MX,83.52,clear sky,16.2333,-94.65,
501,Edd,ER,79.9,clear sky,13.9297,41.6925,
