City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
638,Tuburan,PH,81.73,overcast clouds,6.6439,122.2736,GT Site
642,Santiago,CL,79.0,clear sky,-33.4569,-70.6483,Che Lagarto Hostel Santiago
644,Kutum,SD,77.09,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
645,Iquitos,PE,86.0,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
648,Kathu,TH,87.01,few clouds,7.9178,98.3332,Novotel Phuket Resort
653,Villa Bruzual,VE,89.37,overcast clouds,9.3328,-69.1208,Edificio Guarente
654,Abilene,US,82.99,clear sky,32.4487,-99.7331,La Quinta Inn by Wyndham Abilene
655,Luwuk,ID,77.67,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
662,Ojinaga,MX,82.0,clear sky,29.5667,-104.4167,Suites Las Palmas
663,Labuhan,ID,78.46,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
671,Talwara,IN,76.42,broken clouds,31.9486,75.8667,BBMB Rest House
677,Manali,IN,84.2,scattered clouds,13.1667,80.2667,Sarathy Lodge
693,Sabang,ID,83.71,clear sky,5.8933,95.3214,Hotel Citra
698,Saint-Pierre,RE,78.8,clear sky,-21.3393,55.4781,Lindsey Hôtel
700,Tay Ninh,VN,81.25,broken clouds,11.3,106.1,Thanh Tuyền Hotel
704,San Policarpo,PH,78.48,scattered clouds,12.1791,125.5072,JM Lodge
708,Mangrol,IN,79.95,clear sky,21.1167,70.1167,Hotel The Royal Honours
