City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
105,Castro,BR,-24.7911,-50.0119,79.92,39,2,7.2,clear sky
106,Hilton Head Island,US,32.2163,-80.7526,71.6,64,90,8.05,overcast clouds
107,La Palma,US,33.8464,-118.0467,69.01,68,75,5.12,broken clouds
108,Nueve De Julio,AR,-35.4444,-60.8831,69.01,64,6,11.01,clear sky
109,Baykit,RU,61.67,96.37,28.72,96,98,3.83,overcast clouds
110,Nanortalik,GL,60.1432,-45.2371,38.7,65,1,3.09,clear sky
111,Ourem,PT,39.6417,-8.5919,62.01,72,75,6.91,broken clouds
112,Upernavik,GL,72.7868,-56.1549,32.27,76,100,13.8,snow
113,Bathsheba,BB,13.2167,-59.5167,78.8,69,20,14.97,volcanic ash
114,Leningradskiy,RU,69.3833,178.4167,-20.34,96,48,6.33,scattered clouds
115,Touros,BR,-5.1989,-35.4608,86.0,66,40,16.11,scattered clouds
116,Chuy,UY,-33.6971,-53.4616,64.42,81,95,23.73,overcast clouds
117,Krasnoselkup,RU,65.7,82.4667,32.14,88,100,19.75,overcast clouds
118,Garautha,IN,25.5667,79.3,84.07,24,16,7.31,few clouds
119,Ilkeston,GB,52.9706,-1.3095,43.0,52,20,6.91,few clouds
120,Antalaha,MG,-14.9003,50.2788,75.27,86,100,6.98,overcast clouds
121,Axim,GH,4.8699,-2.2405,82.38,81,94,11.34,overcast clouds
122,Butaritari,KI,3.0707,172.7902,80.96,76,60,8.77,light rain
123,Saint Anthony,US,45.0205,-93.218,50.0,71,90,12.66,overcast clouds
124,Tabory,RU,58.5198,64.5495,47.16,93,100,8.32,overcast clouds
125,Xinyu,CN,27.8043,114.9334,58.46,97,97,2.33,light rain
126,Dhidhdhoo,MV,6.8833,73.1,83.55,65,6,2.01,clear sky
127,Anloga,GH,5.7947,0.8973,87.8,70,20,14.97,few clouds
128,Oyama,JP,36.3,139.8,57.0,93,20,2.3,few clouds
129,Cabo San Lucas,MX,22.8909,-109.9124,78.8,64,75,4.61,broken clouds
130,Vaasa,FI,63.096,21.6158,39.2,52,0,2.3,clear sky
131,Bluff,NZ,-46.6,168.3333,46.99,97,53,1.99,broken clouds
132,Seoul,KR,37.5683,126.9778,57.2,62,0,2.3,light rain
133,Hualmay,PE,-11.0964,-77.6139,73.78,74,92,8.23,overcast clouds
134,Bengkulu,ID,-3.8004,102.2655,75.92,89,85,3.85,heavy intensity rain
135,Oxford,GB,51.7522,-1.256,45.0,52,40,9.22,scattered clouds
136,San Quintin,MX,30.4833,-115.95,63.18,67,100,7.27,overcast clouds
137,Yar-Sale,RU,66.8333,70.8333,32.76,97,100,14.58,overcast clouds
138,Pevek,RU,69.7008,170.3133,-26.39,100,81,3.6,broken clouds
139,Svetlyy,RU,54.675,20.1347,62.6,42,0,8.95,clear sky
140,Meulaboh,ID,4.1363,96.1285,77.25,88,96,3.44,overcast clouds
141,Buraydah,SA,26.326,43.975,75.2,29,0,14.97,clear sky
142,Loralai,PK,30.3705,68.598,71.33,14,21,9.44,few clouds
143,Kloulklubed,PW,7.0419,134.2556,78.8,89,90,5.1,heavy intensity rain
144,Acarigua,VE,9.5545,-69.1956,77.0,65,75,9.22,broken clouds
145,Richards Bay,ZA,-28.783,32.0377,72.14,89,1,3.2,clear sky
146,Santa Rosa,PH,14.3122,121.1114,81.0,69,20,5.75,few clouds
147,Bredasdorp,ZA,-34.5322,20.0403,60.8,94,100,3.44,overcast clouds
148,Hervey Bay,AU,-25.2986,152.8535,64.99,52,0,5.01,clear sky
149,Penzance,GB,50.1186,-5.5371,46.4,53,8,16.11,clear sky
150,Saint George,US,37.1041,-113.5841,73.0,16,1,4.61,clear sky
151,Saint-Francois,FR,46.4154,3.9054,43.0,93,90,13.8,overcast clouds
152,Yingcheng,CN,30.95,113.55,57.2,100,90,4.47,mist
153,Avarua,CK,-21.2078,-159.775,77.0,100,40,1.14,light rain
154,Camaguey,CU,21.3808,-77.9169,89.6,40,20,8.05,few clouds
155,Kavaratti,IN,10.5669,72.642,83.77,66,9,4.36,clear sky
156,Victoria,HK,22.2855,114.1577,73.0,84,37,9.13,scattered clouds
157,Luan,CH,46.3592,6.9759,51.01,88,91,3.67,light rain
158,Baguanos,CU,20.7517,-76.0269,89.6,40,75,5.75,broken clouds
159,Oropoli,HN,13.8167,-86.8167,95.0,45,20,4.9,few clouds
160,Bay Roberts,CA,47.5999,-53.2648,37.0,100,90,3.44,light rain
161,Sao Joao Da Barra,BR,-21.6403,-41.0511,87.8,40,20,2.3,few clouds
162,Inirida,CO,3.8653,-67.9239,84.45,76,100,0.27,overcast clouds
163,Korla,CN,41.7597,86.1469,57.36,42,3,15.79,clear sky
164,Constantine,DZ,36.365,6.6147,69.8,46,40,8.05,scattered clouds
165,Hauterive,FR,46.0901,3.4459,44.6,76,75,12.66,broken clouds
166,Geraldton,AU,-28.7667,114.6,75.2,94,75,18.41,broken clouds
